"ensembl_gene_id","logFC","P.Value","adj.P.Val","comparison"
"ENSMUSG00000028691",0.547203347083073,8.34114079385344e-06,0.00146837442534996,"4h_vs_0h"
"ENSMUSG00000029623",0.647640888406315,1.0039948683825e-05,0.00169945439067362,"4h_vs_0h"
"ENSMUSG00000029545",-0.178528747272615,1.07457710273767e-05,0.00175156067746241,"4h_vs_0h"
"ENSMUSG00000032418",0.617945986343809,1.13909542739671e-05,0.00177709767494175,"4h_vs_0h"
"ENSMUSG00000028603",-0.380170534565696,1.17100278512408e-05,0.00177709767494175,"4h_vs_0h"
"ENSMUSG00000027823",0.433746973927082,1.25942651900525e-05,0.0018475787033807,"4h_vs_0h"
"ENSMUSG00000032504",0.321168938099309,1.30704232065713e-05,0.00185557846877807,"4h_vs_0h"
"ENSMUSG00000003500",3.58348397241017,1.5122083565786e-05,0.00207975905540701,"4h_vs_0h"
"ENSMUSG00000024493",0.553260707440032,1.77048925163635e-05,0.00228067452480817,"4h_vs_0h"
"ENSMUSG00000027810",0.423554778019877,1.82341874012007e-05,0.00228067452480817,"4h_vs_0h"
"ENSMUSG00000038736",2.95918447483449,1.85526885191057e-05,0.00228067452480817,"4h_vs_0h"
"ENSMUSG00000028419",3.00613050812799,1.86558243338091e-05,0.00228067452480817,"4h_vs_0h"
"ENSMUSG00000071866",0.284480529119165,1.94359371827396e-05,0.00231182593354694,"4h_vs_0h"
"ENSMUSG00000002718",0.516785252200307,2.02661235256826e-05,0.00234713709569814,"4h_vs_0h"
"ENSMUSG00000022789",0.674649681190807,2.10487275627747e-05,0.00237526794881466,"4h_vs_0h"
"ENSMUSG00000024966",0.486494260182692,2.2809051666796e-05,0.00247956464693605,"4h_vs_0h"
"ENSMUSG00000002944",-0.294576416229177,2.3099784259118e-05,0.00247956464693605,"4h_vs_0h"
"ENSMUSG00000010936",0.419348840426895,2.49400931226385e-05,0.00261336547220791,"4h_vs_0h"
"ENSMUSG00000062203",0.500939167568795,2.68113028527206e-05,0.00270004670859177,"4h_vs_0h"
"ENSMUSG00000020267",0.395476760774297,2.76289287418351e-05,0.00270004670859177,"4h_vs_0h"
"ENSMUSG00000028961",0.45666974024342,2.77699624558369e-05,0.00270004670859177,"4h_vs_0h"
"ENSMUSG00000000339",0.405449482793788,2.82213471018454e-05,0.00270004670859177,"4h_vs_0h"
"ENSMUSG00000033096",-0.326249827075404,2.92511411991244e-05,0.0027390270727095,"4h_vs_0h"
"ENSMUSG00000031672",-0.244876168345257,3.00494790361134e-05,0.00275516160912364,"4h_vs_0h"
"ENSMUSG00000020849",0.558373501706654,3.2648517797954e-05,0.00293236993528154,"4h_vs_0h"
"ENSMUSG00000024772",0.664311663361296,3.45607244873235e-05,0.00304203496937421,"4h_vs_0h"
"ENSMUSG00000061477",0.247589092672669,3.64320534813876e-05,0.00311755911959995,"4h_vs_0h"
"ENSMUSG00000053398",0.399751784270212,3.68355087978181e-05,0.00311755911959995,"4h_vs_0h"
"ENSMUSG00000015806",0.457739659811864,3.93572789827216e-05,0.00326813933590486,"4h_vs_0h"
"ENSMUSG00000021218",0.533445918463656,4.13327358532762e-05,0.00336286101537534,"4h_vs_0h"
"ENSMUSG00000022234",0.44407419941189,4.2026211280537e-05,0.00336286101537534,"4h_vs_0h"
"ENSMUSG00000007892",0.402384736443736,4.30858711307811e-05,0.00338608783654585,"4h_vs_0h"
"ENSMUSG00000020361",0.476493910832737,4.50560802619061e-05,0.00342196735241115,"4h_vs_0h"
"ENSMUSG00000022285",0.341308412471687,4.54998832661341e-05,0.00342196735241115,"4h_vs_0h"
"ENSMUSG00000022205",0.502756988219524,4.66348339164409e-05,0.00342196735241115,"4h_vs_0h"
"ENSMUSG00000004980",-0.326352498375286,4.66525883082638e-05,0.00342196735241115,"4h_vs_0h"
"ENSMUSG00000006456",-0.31128590504472,4.92089689185681e-05,0.00355030610181341,"4h_vs_0h"
