"ensembl_gene_id","logFC","P.Value","adj.P.Val"
"ENSMUSG00000032557",3.52493795060754,5.85256591130807e-24,2.57571425756668e-20
"ENSMUSG00000032786",-3.68463272238928,2.56914143389027e-20,5.65339572527553e-17
"ENSMUSG00000019577",4.79165181938325,1.48579294722109e-18,2.17965825357334e-15
"ENSMUSG00000022607",3.68766656485328,8.73557026273105e-12,9.61131118156984e-09
"ENSMUSG00000025001",-0.358224275763668,1.13758066631727e-08,1.00129850249246e-05
"ENSMUSG00000030681",0.643623945355529,3.17339818641261e-08,1.99169020756289e-05
"ENSMUSG00000024742",0.392123773695296,3.61493636140633e-08,1.99169020756289e-05
"ENSMUSG00000021794",-0.3684177906398,3.62043209736494e-08,1.99169020756289e-05
"ENSMUSG00000023832",0.489469854093446,4.78577388524885e-08,2.34024342988669e-05
"ENSMUSG00000025134",-0.392561127524914,6.73380845723814e-08,2.96354910203051e-05
"ENSMUSG00000028902",-0.294595082220532,1.16697509283488e-07,4.66896125778755e-05
"ENSMUSG00000031715",-0.254597253434721,1.32077774850826e-07,4.84395239265406e-05
"ENSMUSG00000028032",0.443943560031926,2.24369162286387e-07,6.86877854062872e-05
"ENSMUSG00000024360",0.616610199462439,2.30775297672778e-07,6.86877854062872e-05
"ENSMUSG00000019868",0.527933723868358,2.34109698044605e-07,6.86877854062872e-05
"ENSMUSG00000066551",0.662224378930702,2.66732298482766e-07,7.33680528514159e-05
"ENSMUSG00000031985",-0.432644381738541,3.15881772827794e-07,8.13923463583868e-05
"ENSMUSG00000020612",0.322575903412254,3.32893032140641e-07,8.13923463583868e-05
"ENSMUSG00000021957",0.532134862498619,3.61304138330802e-07,8.36894480417821e-05
"ENSMUSG00000030058",0.383583072986816,4.24360876500382e-07,9.00935933502751e-05
"ENSMUSG00000021266",0.613197167012693,4.29894446797496e-07,9.00935933502751e-05
"ENSMUSG00000023944",0.344262642565031,4.96740329708599e-07,9.63386372329612e-05
"ENSMUSG00000025613",0.45938548453617,5.03473905102956e-07,9.63386372329612e-05
"ENSMUSG00000027810",0.423554778019877,5.38882451427301e-07,9.88175695304813e-05
"ENSMUSG00000032096",0.450267287903316,6.00720212462278e-07,0.000103037773449565
"ENSMUSG00000001416",0.425100382123031,6.28972297373364e-07,0.000103037773449565
"ENSMUSG00000068039",0.344805924581898,6.32133579445185e-07,0.000103037773449565
"ENSMUSG00000029447",0.391030125552565,6.8540538939751e-07,0.000107731039954944
"ENSMUSG00000003808",0.347364989257532,9.05406395765881e-07,0.000137403225785022
"ENSMUSG00000043424",0.600491192962842,1.03114911733391e-06,0.000141815331768791
"ENSMUSG00000036138",-0.468601027388257,1.11360840229354e-06,0.000141815331768791
"ENSMUSG00000035325",0.523051203529601,1.14495895510072e-06,0.000141815331768791
"ENSMUSG00000037742",0.420139725147052,1.18469391606195e-06,0.000141815331768791
"ENSMUSG00000020917",0.432477191349715,1.19186963656548e-06,0.000141815331768791
"ENSMUSG00000026509",0.435436525528377,1.22593679102016e-06,0.000141815331768791
"ENSMUSG00000058355",0.519921917525423,1.23924637951248e-06,0.000141815331768791
"ENSMUSG00000037712",0.480397406082002,1.24709044416328e-06,0.000141815331768791
"ENSMUSG00000025403",-0.289880872637291,1.26112339805975e-06,0.000141815331768791
"ENSMUSG00000029623",0.647640888406311,1.27782878098517e-06,0.000141815331768791
"ENSMUSG00000020532",0.526800804879031,1.32304746920731e-06,0.000141815331768791
"ENSMUSG00000008450",0.520880006566127,1.33569949151575e-06,0.000141815331768791
"ENSMUSG00000021270",0.461611358236002,1.35338421592574e-06,0.000141815331768791
"ENSMUSG00000029247",0.321651483763915,1.39913617298648e-06,0.000143199960402639
"ENSMUSG00000001100",-0.317013663124811,1.56437997141307e-06,0.000155656673610583
"ENSMUSG00000029762",0.37859746388855,1.59158152976056e-06,0.000155656673610583
"ENSMUSG00000033813",0.551165222398918,1.66979373943799e-06,0.000159755701027535
"ENSMUSG00000042699",-0.303618773427367,1.90520241301448e-06,0.000178399911056952
"ENSMUSG00000033174",0.962549045592333,2.00622237972989e-06,0.000183945514441484
"ENSMUSG00000020152",0.362585554787394,2.29252684550339e-06,0.000203128757302166
"ENSMUSG00000032479",0.623689801014557,2.30775684278762e-06,0.000203128757302166
"ENSMUSG00000071650",-0.268587951277347,2.69892770462153e-06,0.000232901584863517
"ENSMUSG00000022205",0.502756988219524,2.92468015268181e-06,0.000247529179845243
"ENSMUSG00000024892",-0.25739961892284,3.52975057931329e-06,0.000293102496218072
"ENSMUSG00000007739",0.317899169569699,3.73488709503774e-06,0.000304393298245575
"ENSMUSG00000024507",-0.431475483119854,3.91733271409645e-06,0.000309755277779109
"ENSMUSG00000025260",-0.387019745325492,3.94144411625315e-06,0.000309755277779109
"ENSMUSG00000016554",0.335460599369366,4.20931653826911e-06,0.000312893628889016
"ENSMUSG00000000339",0.405449482793784,4.21310098354535e-06,0.000312893628889016
"ENSMUSG00000032249",0.647276153006374,4.21636364189912e-06,0.000312893628889016
"ENSMUSG00000028577",0.410202459503086,4.26576181171119e-06,0.000312893628889016
"ENSMUSG00000022244",-0.37843568804529,4.59903472082586e-06,0.000326697061588986
"ENSMUSG00000028136",0.42139739718516,4.64051288231628e-06,0.000326697061588986
"ENSMUSG00000028603",-0.380170534565696,4.67664505342106e-06,0.000326697061588986
"ENSMUSG00000022452",-0.603885536374769,5.03758661728087e-06,0.000346412792228955
"ENSMUSG00000051223",0.334738436097304,5.22912786816182e-06,0.000354052180735079
