"ensembl_gene_id","logFC","P.Value","adj.P.Val"
"ENSMUSG00000032557",3.52493795060754,5.85256591130807e-24,2.57571425756668e-20
"ENSMUSG00000022607",3.68766656485328,8.73557026273105e-12,1.92226223631397e-08
"ENSMUSG00000029545",-0.409654190770592,2.0805083535563e-10,2.93755674363294e-07
"ENSMUSG00000030605",-0.771427255724191,2.73176099467063e-10,2.93755674363294e-07
"ENSMUSG00000061838",-0.434219775588009,3.33737416908991e-10,2.93755674363294e-07
"ENSMUSG00000035284",0.323867654024106,7.16890685510292e-10,5.25839317821799e-07
"ENSMUSG00000058997",-0.415712865158028,4.41654548335924e-09,2.77674523889486e-06
"ENSMUSG00000029456",-0.653502104701921,9.75484021578285e-09,4.68651675830519e-06
"ENSMUSG00000020917",0.624543126896413,9.98349462735754e-09,4.68651675830519e-06
"ENSMUSG00000025153",0.962276751517933,1.09057886160359e-08,4.68651675830519e-06
"ENSMUSG00000026003",-0.505684917785899,1.17136297071932e-08,4.68651675830519e-06
"ENSMUSG00000015656",0.341746835890881,1.36502381476816e-08,5.00622484066224e-06
"ENSMUSG00000025465",-0.519566538553359,1.62184255184973e-08,5.49056082360821e-06
"ENSMUSG00000019055",0.424055295162447,2.07001322166525e-08,6.17521839467299e-06
"ENSMUSG00000032418",0.991454780921387,2.10470974596898e-08,6.17521839467299e-06
"ENSMUSG00000026193",-0.940016254665888,2.24698755074839e-08,6.1806201317773e-06
"ENSMUSG00000023832",0.509287049610698,2.81851952096851e-08,7.29664965398966e-06
"ENSMUSG00000028577",0.605242793170728,3.12598508469903e-08,7.3732922015539e-06
"ENSMUSG00000026880",-0.797272162720041,3.18319817835774e-08,7.3732922015539e-06
"ENSMUSG00000024507",0.626138448586644,3.54373060373756e-08,7.79797919352449e-06
"ENSMUSG00000003809",-0.522573397283292,3.88052244451254e-08,8.13246632299985e-06
"ENSMUSG00000040618",-0.395905009185896,4.14049353991772e-08,8.25399534071266e-06
"ENSMUSG00000054808",0.477173349901459,4.37075889177529e-08,8.25399534071266e-06
"ENSMUSG00000022193",0.667890335200241,4.5011562866872e-08,8.25399534071266e-06
"ENSMUSG00000027406",-0.401598149307983,5.18275827270738e-08,9.12372766327406e-06
"ENSMUSG00000042524",-0.562457090706314,6.2345225754555e-08,1.05531284056076e-05
"ENSMUSG00000017221",0.373019898247044,9.00777521396172e-08,1.46826735987576e-05
"ENSMUSG00000005413",0.722018368950273,1.02147597306764e-07,1.60554134195381e-05
"ENSMUSG00000025982",0.370009233164623,1.19566511215248e-07,1.76924154230548e-05
"ENSMUSG00000028603",0.510410609375953,1.2060269545368e-07,1.76924154230548e-05
"ENSMUSG00000020936",0.583339575491514,1.28453649416789e-07,1.77963459221837e-05
"ENSMUSG00000030695",0.758494070138511,1.29398561579159e-07,1.77963459221837e-05
"ENSMUSG00000039063",-0.608470444751941,1.69503350623488e-07,2.26055832149688e-05
"ENSMUSG00000012428",-0.77633332923179,1.91367735907534e-07,2.47708648743841e-05
"ENSMUSG00000028452",0.481624690239006,2.06001284643335e-07,2.56082423422224e-05
"ENSMUSG00000024747",0.650495808363576,2.09474374987504e-07,2.56082423422224e-05
"ENSMUSG00000028034",0.269471612563486,2.3689310780328e-07,2.68652400811131e-05
"ENSMUSG00000031960",0.651350704138331,2.37182358179162e-07,2.68652400811131e-05
"ENSMUSG00000001440",0.276751432558182,2.4155253431797e-07,2.68652400811131e-05
"ENSMUSG00000026229",0.428690986898655,2.44173961200755e-07,2.68652400811131e-05
"ENSMUSG00000007564",0.464389619105454,2.50677191354172e-07,2.69080565646271e-05
"ENSMUSG00000020705",0.593748535526895,2.57973502998115e-07,2.70319377784454e-05
"ENSMUSG00000030541",-0.424323110399435,2.64329722504121e-07,2.70538397381544e-05
"ENSMUSG00000043424",0.663063546903693,2.97045485063533e-07,2.97112995401048e-05
"ENSMUSG00000040952",0.368862632660562,3.1067446546852e-07,3.03839627228212e-05
"ENSMUSG00000015568",-0.946404408052221,3.19621420041192e-07,3.05794319478541e-05
"ENSMUSG00000036138",0.514942876002767,3.42000899061957e-07,3.18548728723255e-05
"ENSMUSG00000027566",0.527856298179689,3.47428742983782e-07,3.18548728723255e-05
"ENSMUSG00000029446",0.843216119997379,3.60809561012161e-07,3.22101035605683e-05
"ENSMUSG00000030751",0.536055926813553,3.65940735748333e-07,3.22101035605683e-05
"ENSMUSG00000040532",-0.53308824441217,3.79899210528336e-07,3.23899089094381e-05
"ENSMUSG00000025156",0.441304308348645,3.82702854644577e-07,3.23899089094381e-05
"ENSMUSG00000074656",0.475351972699471,4.01728032542544e-07,3.28640312870511e-05
"ENSMUSG00000056973",-0.919232987863225,4.05895080284526e-07,3.28640312870511e-05
"ENSMUSG00000022797",0.414136997661572,4.1469960673711e-07,3.28640312870511e-05
"ENSMUSG00000021178",0.370773467165524,4.18174449460318e-07,3.28640312870511e-05
"ENSMUSG00000027810",0.430233321344538,4.42457138814451e-07,3.41623485600421e-05
"ENSMUSG00000020290",0.542821705544171,5.17310192501086e-07,3.92531406413324e-05
"ENSMUSG00000048755",-0.512130301815677,5.56826613171172e-07,4.15354902468869e-05
"ENSMUSG00000037601",0.616391834607512,5.7991170974594e-07,4.25365239098647e-05
"ENSMUSG00000030861",-0.556354977653463,6.69596539496365e-07,4.83097437757952e-05
"ENSMUSG00000028382",-0.266045742721534,7.39640546138926e-07,5.25025490896357e-05
"ENSMUSG00000029752",0.66256352089875,8.16014786911796e-07,5.70044615428383e-05
"ENSMUSG00000020078",0.715171510000037,8.39070501460869e-07,5.76992074520201e-05
"ENSMUSG00000036880",-0.423205154771345,8.69841252120285e-07,5.85625986936646e-05
"ENSMUSG00000028811",0.555030299774142,8.78239380545754e-07,5.85625986936646e-05
"ENSMUSG00000028902",0.250759469735502,9.06550751303111e-07,5.90801103127939e-05
"ENSMUSG00000067274",0.210764717420652,9.12848784655757e-07,5.90801103127939e-05
"ENSMUSG00000021193",-0.320267948844702,9.96004155046935e-07,6.32092541013668e-05
"ENSMUSG00000025503",0.599412300700322,1.00537327586814e-06,6.32092541013668e-05
"ENSMUSG00000028013",-0.338301434556833,1.05227986626682e-06,6.52265308653559e-05
"ENSMUSG00000027193",0.462591572846247,1.09829320486532e-06,6.71331721473928e-05
"ENSMUSG00000030630",0.577099932003264,1.1336041084303e-06,6.74864185549515e-05
"ENSMUSG00000002010",-0.47413505781234,1.13474096184195e-06,6.74864185549515e-05
"ENSMUSG00000059743",0.741695810237971,1.15898276111525e-06,6.80091084222431e-05
"ENSMUSG00000032047",-0.391480413996568,1.38657603705658e-06,7.93156396703343e-05
"ENSMUSG00000020097",-0.285395579709331,1.38770830597949e-06,7.93156396703343e-05
"ENSMUSG00000024892",-0.277532658067692,1.42612608518096e-06,7.9689524931533e-05
"ENSMUSG00000018286",0.446308812494099,1.43046409215885e-06,7.9689524931533e-05
"ENSMUSG00000030662",0.516818601835919,1.50458602256613e-06,8.27710385664194e-05
"ENSMUSG00000028837",0.59840717863333,1.53537918472438e-06,8.34222690366912e-05
"ENSMUSG00000005779",0.518997255165793,1.61596390991866e-06,8.54554254508845e-05
"ENSMUSG00000025190",0.777210698363803,1.62017075202961e-06,8.54554254508845e-05
"ENSMUSG00000020741",0.465207846106651,1.64844558024001e-06,8.54554254508845e-05
"ENSMUSG00000001119",-0.415832530293923,1.65046833976941e-06,8.54554254508845e-05
"ENSMUSG00000022186",-0.300885918361189,1.697918538767e-06,8.68899940594602e-05
"ENSMUSG00000036752",-0.320366579855339,1.78541964729775e-06,9.03176076753722e-05
"ENSMUSG00000021270",0.45044954592516,1.82340841403278e-06,9.11911412517987e-05
"ENSMUSG00000031453",-0.790706810279275,1.8475827075716e-06,9.13619269216025e-05
"ENSMUSG00000031278",0.447447650915787,1.93238053110041e-06,9.449340797081e-05
"ENSMUSG00000024665",3.3158404905065,1.98590012998699e-06,9.5381513427555e-05
"ENSMUSG00000051223",0.363034651005588,1.99388757903546e-06,9.5381513427555e-05
"ENSMUSG00000025645",-0.387170479692156,2.08066049576967e-06,9.84622241062617e-05
"ENSMUSG00000025613",0.408906681465748,2.11551848775687e-06,9.90467751555107e-05
"ENSMUSG00000020869",0.391518987661062,2.13837778336401e-06,9.9063164469316e-05
"ENSMUSG00000025326",3.6173531371947,2.41833206761483e-06,0.000110401223646741
"ENSMUSG00000031400",0.560666487824093,2.45499157637034e-06,0.000110401223646741
"ENSMUSG00000005469",0.602106826148461,2.46654147048844e-06,0.000110401223646741
"ENSMUSG00000068856",0.290739576516152,2.4834631086179e-06,0.000110401223646741
"ENSMUSG00000022812",3.42685961466843,2.56881341761863e-06,0.000111027368455477
"ENSMUSG00000006717",-0.520585155799086,2.56892298440786e-06,0.000111027368455477
"ENSMUSG00000021238",-0.4231566868451,2.57323144341257e-06,0.000111027368455477
"ENSMUSG00000023944",0.300191988898135,2.67426770951051e-06,0.000113209455871006
"ENSMUSG00000028179",0.668475437503027,2.67525185425691e-06,0.000113209455871006
"ENSMUSG00000060376",-0.344361524549445,2.70704248219429e-06,0.000113463752039401
